#{"t_start": 1769534691.7832222, "env_id": "None"}
r,l,t
0.0,8,12.072012
0.0,2,12.079068
0.0,79,12.091508
0.0,32,12.096751
0.0,2,12.124622
0.0,6,12.140407
0.0,40,12.156732
0.0,42,12.199511
0.0,17,12.2088
0.0,2,12.2088
0.0,10,12.218751
0.0,58,12.228571
0.0,4,12.26996
0.0,39,12.272771
0.0,13,12.278988
0.0,41,12.294248
0.0,8,12.324884
0.0,6,12.324884
0.0,11,12.333108
0.0,2,12.333108
0.0,4,12.343536
0.0,23,12.347046
0.0,2,12.349046
0.0,41,12.356656
0.0,15,12.395999
0.0,12,12.413617
0.0,39,12.413617
0.0,6,12.413617
0.0,17,12.453286
0.0,5,12.456796
0.0,26,12.461253
0.0,6,12.480509
0.0,32,12.487066
0.0,18,12.526643
0.0,15,12.53069
0.0,31,12.537738
0.0,24,12.54874
0.0,12,12.54874
0.0,9,12.556965
0.0,17,12.599025
0.0,10,12.599025
0.0,8,12.601289
0.0,10,12.609098
0.0,4,12.613106
0.0,2,12.620295
0.0,20,12.626862
0.0,16,12.665718
0.0,2,12.672711
0.0,15,12.6824
0.0,261,12.71872
0.0,15,12.71872
0.0,2,12.728073
0.0,2,12.728073
0.0,15,12.728073
0.0,7,12.73385
0.0,11,12.794834
0.0,67,12.813441
0.0,28,12.816901
0.0,19,12.822931
0.0,2,12.822931
0.0,8,12.882053
0.0,18,12.942037
0.0,29,12.947052
0.0,66,12.960885
0.0,4,12.960885
0.0,2,12.992713
0.0,47,12.996721
0.0,11,13.029004
0.0,4,13.091129
0.0,62,13.1059
0.0,19,13.110956
0.0,2,13.110956
0.0,2,13.127657
0.0,4,13.136009
0.0,10,13.186831
0.0,4,13.201021
0.0,43,13.243766
0.0,2,13.249631
0.0,19,13.250399
0.0,4,13.259937
0.0,6,13.269871
0.0,45,13.273886
0.0,28,13.276894
0.0,123,13.326643
0.0,9,13.33424
0.0,28,13.344564
0.0,15,13.372852
0.0,15,13.404259
0.0,26,13.441181
0.0,7,13.465837
0.0,26,13.475083
0.0,101,13.509027
0.0,6,13.524301
0.0,12,13.534366
0.0,30,38.741735
0.0,40,38.742956
0.0,10,38.746968
0.0,2,38.746968
0.0,45,38.75703
0.0,33,38.82707
0.0,16,38.82707
0.0,89,38.900924
0.0,33,38.953099
0.0,22,38.958736
0.0,38,38.958736
0.0,6,39.006323
0.0,11,39.015882
0.0,20,39.025032
0.0,7,39.029066
0.0,13,39.042279
0.0,36,39.048635
0.0,4,39.054442
0.0,73,39.104099
0.0,11,39.109132
0.0,13,39.119667
0.0,14,39.178416
0.0,4,39.190986
0.0,83,39.229242
0.0,40,39.284425
0.0,38,39.290215
0.0,39,39.316709
0.0,46,39.377076
0.0,34,39.42328
0.0,43,39.441081
0.0,30,39.441081
0.0,29,39.441081
0.0,9,39.452651
0.0,2,39.487003
0.0,4,39.503595
0.0,90,39.525103
0.0,2,39.560207
0.0,21,39.569878
0.0,46,39.586314
0.0,42,39.632105
0.0,13,39.638748
0.0,2,39.64476
0.0,4,39.64476
0.0,27,39.650251
0.0,4,39.663085
