#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.0,120,764.800754
0.91,12,764.835707
0.9325,9,764.869386
0.0,120,764.869386
0.0,120,764.904389
0.0,7,764.930734
0.0,120,764.982543
0.0,120,765.014023
0.9775,3,765.039599
0.7825,29,765.048523
0.835,22,765.243927
0.655,46,765.28012
0.79,28,765.295291
0.0,120,765.351739
0.8725,17,765.410398
0.0,120,765.507884
0.0,85,765.571522
0.0,85,765.600507
0.4,80,765.624494
0.0,78,765.637973
0.0,33,765.664963
0.4975,67,788.154561
0.0,30,788.184595
0.955,6,788.224122
0.685,42,788.242306
0.4375,75,788.273665
0.0,44,788.33992
0.8125,25,788.353311
0.0,120,788.353311
0.895,14,788.44468
0.0,32,788.473243
0.97,4,788.48218
0.8575,19,788.498839
0.4525,73,788.541079
0.8125,25,788.679259
0.565,58,788.73911
0.0,120,788.753017
0.985,2,788.753017
0.955,6,788.820096
0.0,120,788.850044
0.9475,7,788.900714
0.0,120,788.966955
0.91,12,789.011792
0.58,56,789.011792
0.9925,1,789.021787
0.9625,5,789.070174
0.2575,99,789.107818
0.0,16,815.117015
0.9475,7,815.127914
0.0,26,815.164854
0.9175,11,815.205702
0.9025,13,815.229217
0.7525,33,815.291041
0.865,18,815.336461
0.0,120,815.336461
0.9625,5,815.374936
0.9025,13,815.439267
0.0,120,815.47308
0.0,47,815.640054
0.0,120,815.649885
0.0,104,815.728122
0.0,120,815.805993
0.0,2,815.822798
0.0,120,815.935171
0.5875,55,815.955356
0.5575,59,816.039491
0.8875,15,816.049412
0.4,80,816.060685
0.595,54,816.100854
0.9325,9,816.119202
0.955,6,816.151173
0.955,6,816.164387
0.0,16,816.19427
0.9625,5,816.19427
0.9925,1,816.203582
0.9775,3,816.231204
0.0,22,816.240605
0.0,120,841.525875
0.535,62,841.525875
0.985,2,841.54927
0.0,24,841.587887
0.9175,11,841.622666
0.8275,23,841.737069
0.0,4,841.77467
0.2425,101,841.805343
0.8125,25,841.905862
0.0,120,841.922241
0.9925,1,841.93924
0.7225,37,842.069447
0.0,120,842.08487
0.0,34,842.107392
0.9325,9,842.168044
0.94,8,842.176306
0.985,2,842.18958
0.0,82,842.247985
0.0,14,842.296891
0.0,120,842.318142
0.9325,9,842.403238
0.0,22,842.453424
0.0,120,842.620219
0.2575,99,842.850247
0.0,120,867.565802
0.0,22,867.633571
0.3175,91,867.773638
0.0,120,867.774698
0.0,69,867.793641
0.0,120,867.794889
0.0,38,867.849288
0.91,12,867.874768
0.955,6,867.896753
0.9025,13,867.896753
0.0,120,867.90975
0.0,80,867.919584
0.0,15,868.07357
0.9775,3,868.122387
0.0,120,868.173781
0.76,32,868.223571
0.805,26,868.454028
0.0,120,868.55022
0.0,120,893.758642
0.295,94,893.80231
0.0,101,893.871996
0.0,120,893.896867
0.0,120,893.914367
0.9925,1,893.923365
0.9625,5,893.941444
0.79,28,894.026487
0.0,120,894.035414
0.49,68,894.092676
0.0,120,894.181165
0.0,120,894.265867
0.0,18,894.402715
0.0,83,894.42219
0.0,44,894.448962
0.625,50,894.599324
0.0,120,894.614405
0.355,86,894.634641
0.9775,3,894.634641
0.925,10,894.669278
0.865,18,917.185883
