#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.0,110,203.571975
0.0,120,203.572005
0.0,120,203.600213
0.0,120,203.60813
0.0,120,212.748424
0.82,24,212.757584
0.835,22,212.786977
0.0,46,212.797366
0.985,2,212.802044
0.1375,115,212.814555
0.0,120,212.842819
0.445,74,212.84819
0.97,4,212.852657
0.0,120,212.86533
0.0,120,212.874939
0.0,39,212.874976
0.0,8,212.88633
0.0,120,212.890667
0.8725,17,212.911513
0.0,14,212.916182
0.955,6,212.924721
0.0,11,212.939134
0.0,120,212.967737
0.0,41,212.979929
0.0,120,212.996741
0.0,35,213.00203
0.0,111,213.004677
0.0,120,213.015643
0.0,12,222.074253
0.0,7,222.088923
0.97,4,222.097948
0.0,88,222.110852
0.0,120,222.110886
0.0,120,222.124165
0.5125,65,222.127594
0.685,42,222.1341
0.0,62,222.153882
0.0,120,222.160408
0.0,1,222.163643
0.0,120,222.166299
0.5125,65,222.171446
0.97,4,222.174094
0.0,3,222.178547
0.955,6,222.187197
0.0,33,222.189856
0.0,4,222.198369
0.0,69,222.20294
0.0,10,222.209413
0.0,11,222.225573
0.0,23,222.228446
0.0,3,222.235524
0.4975,67,222.26604
0.0,67,222.281437
0.4975,67,222.288092
0.6925,41,222.290685
0.0,33,222.301201
0.0,10,222.309705
0.0,83,222.314524
0.0,18,222.321329
0.8125,25,222.321361
0.0,120,222.329888
0.0,6,222.335322
0.88,16,222.337913
0.0,120,230.641775
0.3025,93,230.64699
0.0,72,230.667564
0.775,30,230.672467
0.0,120,230.692818
0.535,62,230.698036
0.0,57,230.709949
0.9175,11,230.724659
0.0,35,230.724693
0.0,120,230.747312
0.0,71,230.750892
0.0,39,230.759682
0.0,55,230.827257
0.94,8,230.844203
0.0,120,230.848959
0.0,120,230.864117
0.0,120,230.871435
0.8575,19,230.886828
0.0,60,230.889528
0.0,12,230.89214
0.97,4,230.898315
0.9775,3,230.900967
0.0,120,230.910169
0.0,98,230.915401
0.0,120,240.69943
0.0,83,240.699484
0.8575,19,240.699502
0.595,54,240.734843
0.97,4,240.743118
0.0,120,240.753055
0.0,120,240.753086
0.0,30,240.764945
0.955,6,240.767835
0.0,120,240.778756
0.0,18,240.788098
0.9025,13,240.798884
0.5425,61,240.803303
0.4075,79,240.816042
0.94,8,240.820718
0.0,55,240.823306
0.0,65,240.823332
0.805,26,240.838193
0.0,9,240.840889
0.0,80,240.852175
0.0,15,240.856805
0.97,4,240.861355
0.9475,7,240.876
0.0,24,240.876027
0.775,30,240.882303
0.0,65,240.901695
0.0,11,240.908458
0.97,4,240.917377
0.0,37,240.922077
0.925,10,240.924611
0.0,120,240.933095
0.0,12,240.948715
0.0,113,240.953429
0.0,86,240.959978
0.9775,3,249.151501
0.8425,21,249.156307
0.6175,51,249.156336
0.9925,1,249.158944
0.0,43,249.158972
0.9775,3,249.165464
0.9475,7,249.168087
0.9475,7,249.172807
0.0,18,249.179226
0.7975,27,249.179254
0.0,5,249.190127
0.9775,3,249.19678
0.0,96,249.199429
0.0,2,249.202086
0.6625,45,249.204732
0.0,17,249.216958
0.0,9,249.223134
0.775,30,249.240025
0.0,120,249.245224
0.0,120,249.294433
0.43,76,249.303457
0.7075,39,249.308035
0.0,120,249.328358
0.0,15,249.33547
0.0,17,249.346563
0.0,59,249.350806
0.9625,5,249.350846
0.7825,29,249.406591
0.0,114,249.42308
0.0,8,249.439443
0.0,120,249.442328
0.0,120,249.447055
0.0,26,257.837427
0.6175,51,257.846272
0.0,120,257.85094
0.9775,3,257.85426
0.0,120,257.856965
0.0,120,257.889585
0.0,120,257.893458
0.0,78,257.904736
0.3925,81,257.913564
0.895,14,257.924038
0.64,48,257.924073
0.0,120,257.948073
0.0,19,257.967849
0.9775,3,258.06137
0.7675,31,258.079695
0.7,40,258.079731
0.52,64,258.082569
0.0,41,258.091405
0.37,84,258.09411
0.7825,29,258.099203
0.0,88,258.120473
0.0,19,258.123314
0.0,5,258.13234
0.8275,23,258.134998
0.0,80,258.157566
0.0,120,258.170137
0.0,120,265.632588
0.0,120,265.638075
0.49,68,265.641393
0.5575,59,265.651744
0.6925,41,265.654458
0.0,31,265.654492
0.85,20,265.684178
0.0,27,265.695533
0.0,67,265.710059
0.0,32,265.722562
0.835,22,265.730874
0.235,102,265.735626
0.7,40,265.741946
0.0,10,265.74468
0.925,10,265.753459
0.0,3,265.76023
0.8725,17,265.77886
0.0,120,265.790826
0.0,120,265.796093
0.955,6,265.796121
0.0,43,265.807102
0.7675,31,265.80713
0.0,72,265.815789
0.0,120,265.820218
0.0,13,265.825479
0.895,14,265.837879
0.9775,3,265.844544
0.9775,3,265.851194
0.7825,29,265.943963
0.0,120,265.950745
0.565,58,265.959356
0.835,22,265.982272
0.0,16,265.984993
0.0,120,273.658001
0.9625,5,273.669114
0.6775,43,273.669144
0.0,50,273.679422
0.0,14,273.68231
0.0,13,273.697303
0.0,13,273.70806
0.0,120,273.710682
0.4825,69,273.717917
0.9775,3,273.724683
0.0,25,273.763117
0.0,64,273.765839
0.0,34,273.772321
0.0,120,273.776998
0.9625,5,273.784177
0.0,64,273.79133
0.955,6,273.804165
0.0,120,273.807078
0.6775,43,273.820285
0.0,120,273.823198
0.8875,15,273.843217
0.0,26,273.845947
0.0,2,273.848548
0.0,120,273.877177
0.0,52,273.882444
0.31,92,273.889082
0.0,50,273.89176
0.9775,3,273.896466
0.94,8,273.901042
0.0,44,273.919258
0.8875,15,273.92762
0.0,120,273.938491
0.61,52,281.611111
0.0,3,281.617854
0.0,66,281.620499
0.0,120,281.630751
0.9775,3,281.638314
0.0,120,281.683579
0.58,56,281.701733
0.6775,43,281.712267
0.0,120,281.721025
0.925,10,281.724438
0.46,72,281.7294
0.97,4,281.734296
0.4975,67,281.736986
0.31,92,281.745679
0.58,56,281.745706
0.0,9,281.756613
0.0,120,281.761414
0.85,20,281.791341
0.0,120,281.796124
0.88,16,281.799719
0.0,120,281.818264
0.8575,19,281.833812
0.0,69,281.840556
0.7,40,281.84713
0.7825,29,281.859767
0.9025,13,289.812957
0.0,120,289.827525
0.91,12,289.84227
0.7225,37,289.842305
0.0,35,289.850985
0.955,6,289.855551
0.8875,15,289.874145
0.985,2,289.878929
0.0,52,289.881585
0.1825,109,289.905077
0.0,120,289.918572
0.0,120,289.928266
0.85,20,289.937736
0.0,120,290.026735
0.9775,3,290.030065
0.0,120,290.040784
0.925,10,290.054135
0.9925,1,290.056791
0.64,48,290.059566
0.9625,5,290.06835
0.0,110,290.070935
0.8725,17,290.079452
0.955,6,290.084177
0.535,62,290.094896
0.895,14,290.110518
0.0,120,290.113203
0.925,10,290.118527
0.4825,69,290.155523
0.0,120,298.738107
0.85,20,298.738155
0.49,68,298.749152
0.9775,3,298.755697
0.9925,1,298.758253
0.9625,5,298.768589
0.88,16,298.773178
0.0,56,298.775899
0.5575,59,298.780497
0.1,120,298.789073
0.925,10,298.797593
0.955,6,298.813302
0.0,120,298.818053
0.115,118,298.823419
0.0,16,298.828124
0.4,80,298.836833
0.0,120,298.839562
0.1825,109,298.852907
0.8425,21,298.861789
0.67,44,298.870273
0.805,26,298.876852
0.49,68,298.891363
0.0,120,298.891398
0.0,64,299.045758
0.595,54,299.052561
0.0,10,299.067779
0.0,73,299.078632
0.1375,115,307.998678
0.0,120,308.015767
0.385,82,308.019093
0.4075,79,308.033751
0.3325,89,308.040318
0.0,120,308.059744
0.655,46,308.067064
0.0,120,308.071724
0.9175,11,308.094123
0.475,70,308.096908
0.0,120,308.096939
0.0,28,308.101234
0.655,46,308.105922
0.0,120,308.128899
0.6025,53,308.138077
0.0,24,308.149166
0.3475,87,308.151844
0.745,34,308.15188
0.0,30,308.16453
0.0,9,308.169135
0.94,8,308.184287
0.7375,35,308.184324
0.9175,11,308.195454
0.7975,27,308.200073
0.8275,23,308.204702
0.2575,99,308.241095
0.6775,43,316.051105
0.0,41,316.051145
0.0,120,316.072071
0.0,120,316.091991
0.9475,7,316.108465
0.88,16,316.108509
0.97,4,316.117139
0.0,120,316.129003
0.0,120,316.132849
0.9925,1,316.132877
0.0,87,316.142037
0.0,112,316.144628
0.9925,1,316.147288
0.925,10,316.168009
0.8575,19,316.174571
0.0,120,316.184076
0.9025,13,316.211529
0.8725,17,316.211558
0.0,120,316.214167
0.985,2,316.2174
0.835,22,316.217427
0.0,3,316.223791
0.655,46,316.223819
0.0,120,316.237444
0.925,10,316.242667
0.9625,5,316.249706
0.9475,7,316.25834
0.3175,91,316.26085
0.955,6,316.263483
0.4675,71,316.274303
0.79,28,316.27882
0.0,120,316.278846
0.0,10,316.296848
0.0,36,316.299545
0.1825,109,316.302128
0.9775,3,316.306742
0.9775,3,316.309399
0.7825,29,316.323729
0.67,44,316.327895
